,move_distances,yearly_moves,income_improvement,qol_improvement,cyclical_moves,time_to_next_move,attachment_level,mean_pInitiate,pConsumat,avg_satisfaction,num_uncertain,avg_move_distance,total_moves,satisfaction_levels,utility_changes,total_satisfaction,total_uncertainty,TimeStepsAwayFromHome,AvgDistanceAwayFromHome,FractionMovesHome,TotalDistanceTraveled,NumReturnsToHome,avg_utility_change,mean_attachment,sd_attachment,attachment_form_rate,attachment_decay_rate,initial_attachment,sd_pInitiate
43,[],251.52000000000004,1495.0873987819816,1881.5484543602774,0.0,0.0,0.0,0.1,0.6,5.87380548129615,0.0,17.496620205075377,1257.6,[],[],0.0,0.0,527.8781230585056,0.0,0.6896000000000001,0.0,0.0,-2.865291117171055,0.0,0.1,0.05,0.01,0.8,0.2
44,[],256.47999999999996,6049.318282699363,9144.012503066213,0.0,0.0,0.0,0.5,0.2,5.2962427240588585,0.0,17.328217361372335,1282.4,[],[],0.0,0.0,667.22449489598,0.0,0.4391999999999999,0.0,0.0,-4.1924085084863725,0.0,0.1,0.05,0.01,0.8,0.05
45,[],309.32,10709.029731158624,9099.942398684678,0.0,0.0,0.0,0.5,0.6,4.1606009772376815,0.0,17.110508361435617,1546.6,[],[],0.0,0.0,707.2182458762961,0.0,0.41159999999999997,0.0,0.0,-4.469495260377207,0.0,0.1,0.05,0.01,0.8,0.05
46,[],218.32000000000002,-4015.2471494228785,4724.048254917945,0.0,0.0,0.0,0.5,0.2,7.675038478689558,0.0,16.83229461079474,1091.6,[],[],0.0,0.0,497.47940035051414,0.0,0.6584000000000001,0.0,0.0,-3.9512212309701154,0.0,0.1,0.05,0.01,0.8,0.2
47,[],161.4,-416.111070694684,9706.232927335155,0.0,0.0,0.0,0.5,0.6,7.330870518941774,0.0,17.00965248892309,807.0,[],[],0.0,0.0,478.88922472281627,0.0,0.634,0.0,0.0,-4.030408514963307,0.0,0.1,0.05,0.01,0.8,0.2
48,[],105.28,-3723.6866288377814,9049.066847777658,0.0,0.0,0.0,0.1,0.2,4.018016820578401,0.0,17.032522544418317,526.4,[],[],0.0,0.0,527.2395543514501,0.0,0.6092,0.0,0.0,-3.5326747227625646,0.0,0.1,0.05,0.05,0.2,0.05
49,[],87.47999999999999,-22593.865381171338,33717.97828266223,0.0,0.0,0.0,0.1,0.6,3.7864332120080553,0.0,18.773769261641124,437.4,[],[],0.0,0.0,504.9140095494645,0.0,0.71,0.0,0.0,-7.4253133689570365,0.0,0.1,0.05,0.05,0.2,0.05
50,[],114.24000000000001,6530.858360521924,8550.413998135753,0.0,0.0,0.0,0.1,0.2,4.791803864107316,0.0,18.38436520257826,571.2,[],[],0.0,0.0,472.69697639609456,0.0,0.7392,0.0,0.0,-4.225920518552439,0.0,0.1,0.05,0.05,0.2,0.2
51,[],117.68000000000002,26321.09076883322,22629.13308351999,0.0,0.0,0.0,0.1,0.6,3.6895514028188594,0.0,18.0757804815984,588.4,[],[],0.0,0.0,673.7371677818228,0.0,0.5252,0.0,0.0,-5.924317955770519,0.0,0.1,0.05,0.05,0.2,0.2
52,[],241.6,2530.777633530858,9818.369660454468,0.0,0.0,0.0,0.5,0.2,6.688003702657715,0.0,16.75835299562343,1208.0,[],[],0.0,0.0,569.9174401596766,0.0,0.5288,0.0,0.0,-4.977260639105364,0.0,0.1,0.05,0.05,0.2,0.05
53,[],252.76,5216.872128121496,6829.134440321846,0.0,0.0,0.0,0.5,0.6,5.438727877021697,0.0,17.346524991462527,1263.8,[],[],0.0,0.0,640.1206774704624,0.0,0.5156000000000001,0.0,0.0,-3.1544434158093284,0.0,0.1,0.05,0.05,0.2,0.05
54,[],218.0,3371.0756567870535,8649.387740813723,0.0,0.0,0.0,0.5,0.2,7.6292353476288834,0.0,16.726406610952104,1090.0,[],[],0.0,0.0,603.8424980035331,0.0,0.5556,0.0,0.0,-4.8371861121541375,0.0,0.1,0.05,0.05,0.2,0.2
55,[],202.44,10330.610487946218,21081.930028442162,0.0,0.0,0.0,0.5,0.6,5.618302196352458,0.0,17.67938465432949,1012.2,[],[],0.0,0.0,637.8505072235506,0.0,0.4548,0.0,0.0,-5.565190832007803,0.0,0.1,0.05,0.05,0.2,0.2
56,[],230.35999999999999,-14219.43947241744,5840.584060180886,0.0,0.0,0.0,0.1,0.2,2.560213810270107,0.0,17.62878596442402,1151.8,[],[],0.0,0.0,624.7344063190321,0.0,0.4908,0.0,0.0,-4.225645811657849,0.0,0.1,0.05,0.05,0.8,0.05
57,[],138.51999999999998,1526.738260460807,17667.129602203302,0.0,0.0,0.0,0.1,0.6,5.653166011097207,0.0,17.016677459016027,692.6,[],[],0.0,0.0,508.5217486540074,0.0,0.6491999999999999,0.0,0.0,-4.720866064537856,0.0,0.1,0.05,0.05,0.8,0.05
58,[],135.28000000000003,2097.790892438669,8533.991686178375,0.0,0.0,0.0,0.1,0.2,5.898526192056786,0.0,18.51987067882535,676.4,[],[],0.0,0.0,518.7219803867121,0.0,0.6548,0.0,0.0,-4.999758163443574,0.0,0.1,0.05,0.05,0.8,0.2
59,[],56.56,-1603.561846044995,17245.309111781222,0.0,0.0,0.0,0.1,0.6,6.874825939072568,0.0,18.876486754940384,282.8,[],[],0.0,0.0,464.86081648947885,0.0,0.7872,0.0,0.0,-4.127841877395734,0.0,0.1,0.05,0.05,0.8,0.2
60,[],277.67999999999995,-7440.692453832776,15196.5108780307,0.0,0.0,0.0,0.5,0.2,4.34935408702976,0.0,17.173655752820125,1388.4,[],[],0.0,0.0,783.9445579833616,0.0,0.2692,0.0,0.0,-5.058519884496846,0.0,0.1,0.05,0.05,0.8,0.05
61,[],270.64,-4829.3749461157495,5224.610928985581,0.0,0.0,0.0,0.5,0.6,6.217785249472202,0.0,17.438570812851538,1353.2,[],[],0.0,0.0,671.2595223146267,0.0,0.45519999999999994,0.0,0.0,-3.7026514077769312,0.0,0.1,0.05,0.05,0.8,0.05
62,[],280.03999999999996,-3401.928070192081,8456.493992319849,0.0,0.0,0.0,0.5,0.2,5.949696367584855,0.0,17.046407935658014,1400.2,[],[],0.0,0.0,597.0871252151101,0.0,0.524,0.0,0.0,-4.791420180570912,0.0,0.1,0.05,0.05,0.8,0.2
63,[],286.32000000000005,-3447.2274426809117,21797.91915670212,0.0,0.0,0.0,0.5,0.6,4.49393700763082,0.0,15.984740383784294,1431.6,[],[],0.0,0.0,671.2782784277231,0.0,0.41479999999999995,0.0,0.0,-6.484737701715176,0.0,0.1,0.05,0.05,0.8,0.2
64,[],152.11999999999998,-1212.1429470332619,6796.769668770898,0.0,0.0,0.0,0.1,0.2,3.486709429111498,0.0,16.069399313093914,760.6,[],[],0.0,0.0,610.4557013064281,0.0,0.5828,0.0,0.0,-4.747086777629839,0.0,0.5,0.01,0.01,0.2,0.05
65,[],165.0,-2335.50248364958,-400.104657248934,0.0,0.0,0.0,0.1,0.6,5.672901631440127,0.0,17.779264918126636,825.0,[],[],0.0,0.0,562.2257381461245,0.0,0.6096,0.0,0.0,-5.861064684428341,0.0,0.5,0.01,0.01,0.2,0.05
66,[],232.4,-7047.275536071323,22593.435383883887,0.0,0.0,0.0,0.1,0.2,3.606939186870085,0.0,19.085476547420427,1162.0,[],[],0.0,0.0,819.3247573506563,0.0,0.3524,0.0,0.0,-3.905244957112317,0.0,0.5,0.01,0.01,0.2,0.2
67,[],138.68,13071.904012908572,26087.552171998588,0.0,0.0,0.0,0.1,0.6,3.947131410024741,0.0,17.622383449377786,693.4,[],[],0.0,0.0,660.5470850190575,0.0,0.6332000000000001,0.0,0.0,-5.725934604406535,0.0,0.5,0.01,0.01,0.2,0.2
